"Step","clutrr_finetuning_encoder - val_accuracy","clutrr_finetuning_encoder - val_accuracy__MIN","clutrr_finetuning_encoder - val_accuracy__MAX","clutrr_finetuning_decoder - val_accuracy","clutrr_finetuning_decoder - val_accuracy__MIN","clutrr_finetuning_decoder - val_accuracy__MAX"
"9300","0.9936102236421726","0.9936102236421726","0.9936102236421726","0.9889953851615193","0.9889953851615193","0.9889953851615193"
"9350","0.9950301739439119","0.9950301739439119","0.9950301739439119","0.9875754348597799","0.9875754348597799","0.9875754348597799"
"9400","0.9929002484913028","0.9929002484913028","0.9929002484913028","0.9868654597089102","0.9868654597089102","0.9868654597089102"
"9450","0.9953851615193469","0.9953851615193469","0.9953851615193469","0.9879304224352148","0.9879304224352148","0.9879304224352148"
"9500","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9882854100106496","0.9882854100106496","0.9882854100106496"
"9550","0.9936102236421726","0.9936102236421726","0.9936102236421726","0.9889953851615193","0.9889953851615193","0.9889953851615193"
"9600","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9889953851615193","0.9889953851615193","0.9889953851615193"
"9650","0.9946751863684771","0.9946751863684771","0.9946751863684771","0.9889953851615193","0.9889953851615193","0.9889953851615193"
"9700","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9886403975860845","0.9886403975860845","0.9886403975860845"
"9750","0.9946751863684771","0.9946751863684771","0.9946751863684771","0.9868654597089102","0.9868654597089102","0.9868654597089102"
"9800","0.9960951366702165","0.9960951366702165","0.9960951366702165","0.9879304224352148","0.9879304224352148","0.9879304224352148"
"9850","0.9957401490947817","0.9957401490947817","0.9957401490947817","0.9868654597089102","0.9868654597089102","0.9868654597089102"
"9900","0.9939652112176074","0.9939652112176074","0.9939652112176074","0.9904153354632588","0.9904153354632588","0.9904153354632588"
"9950","0.9960951366702165","0.9960951366702165","0.9960951366702165","0.9868654597089102","0.9868654597089102","0.9868654597089102"
"10000","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9886403975860845","0.9886403975860845","0.9886403975860845"
