"Step","clutrr_finetuning_7.5k_encoder - val_accuracy","clutrr_finetuning_7.5k_encoder - val_accuracy__MIN","clutrr_finetuning_7.5k_encoder - val_accuracy__MAX","clutrr_finetuning_7.5k_decoder - val_accuracy","clutrr_finetuning_7.5k_decoder - val_accuracy__MIN","clutrr_finetuning_7.5k_decoder - val_accuracy__MAX","clutrr_finetuning_5k_encoder - val_accuracy","clutrr_finetuning_5k_encoder - val_accuracy__MIN","clutrr_finetuning_5k_encoder - val_accuracy__MAX","clutrr_finetuning_5k_decoder - val_accuracy","clutrr_finetuning_5k_decoder - val_accuracy__MIN","clutrr_finetuning_5k_decoder - val_accuracy__MAX","clutrr_finetuning_2.5k_encoder - val_accuracy","clutrr_finetuning_2.5k_encoder - val_accuracy__MIN","clutrr_finetuning_2.5k_encoder - val_accuracy__MAX","clutrr_finetuning_2.5k_decoder - val_accuracy","clutrr_finetuning_2.5k_decoder - val_accuracy__MIN","clutrr_finetuning_2.5k_decoder - val_accuracy__MAX","clutrr_finetuning_10k_encoder - val_accuracy","clutrr_finetuning_10k_encoder - val_accuracy__MIN","clutrr_finetuning_10k_encoder - val_accuracy__MAX","clutrr_finetuning_10k_decoder - val_accuracy","clutrr_finetuning_10k_decoder - val_accuracy__MIN","clutrr_finetuning_10k_decoder - val_accuracy__MAX"
"1550","0.8448704295349663","0.8448704295349663","0.8448704295349663","0.8317358892438764","0.8317358892438764","0.8317358892438764","0.6712815051473199","0.6712815051473199","0.6712815051473199","0.6794462193823216","0.6794462193823216","0.6794462193823216","0.4043308484203053","0.4043308484203053","0.4043308484203053","0.425275115370962","0.425275115370962","0.425275115370962","0.9762158324458644","0.9762158324458644","0.9762158324458644","0.9680511182108626","0.9680511182108626","0.9680511182108626"
"1600","0.8470003549875754","0.8470003549875754","0.8470003549875754","0.8285410010649628","0.8285410010649628","0.8285410010649628","0.6996805111821086","0.6996805111821086","0.6996805111821086","0.6773162939297125","0.6773162939297125","0.6773162939297125","0.40468583599574015","0.40468583599574015","0.40468583599574015","0.42137025204117856","0.42137025204117856","0.42137025204117856","0.9783457578984736","0.9783457578984736","0.9783457578984736","0.9652112176073837","0.9652112176073837","0.9652112176073837"
"1650","0.8441604543840966","0.8441604543840966","0.8441604543840966","0.8225062122825701","0.8225062122825701","0.8225062122825701","0.6876109336173234","0.6876109336173234","0.6876109336173234","0.6844160454384096","0.6844160454384096","0.6844160454384096","0.40752573659921904","0.40752573659921904","0.40752573659921904","0.41675541356052537","0.41675541356052537","0.41675541356052537","0.9708910188143415","0.9708910188143415","0.9708910188143415","0.9680511182108626","0.9680511182108626","0.9680511182108626"
"1700","0.850550230741924","0.850550230741924","0.850550230741924","0.8310259140930067","0.8310259140930067","0.8310259140930067","0.6954206602768903","0.6954206602768903","0.6954206602768903","0.6819311324103656","0.6819311324103656","0.6819311324103656","0.40326588569400074","0.40326588569400074","0.40326588569400074","0.4210152644657437","0.4210152644657437","0.4210152644657437","0.972310969116081","0.972310969116081","0.972310969116081","0.9712460063897763","0.9712460063897763","0.9712460063897763"
"1750","0.8470003549875754","0.8470003549875754","0.8470003549875754","0.8207312744053958","0.8207312744053958","0.8207312744053958","0.6929357472488463","0.6929357472488463","0.6929357472488463","0.6883209087681931","0.6883209087681931","0.6883209087681931","0.4014909478168264","0.4014909478168264","0.4014909478168264","0.42385516506922255","0.42385516506922255","0.42385516506922255","0.9762158324458644","0.9762158324458644","0.9762158324458644","0.9634362797302094","0.9634362797302094","0.9634362797302094"
"1800","0.8445154419595314","0.8445154419595314","0.8445154419595314","0.8494852680156194","0.8494852680156194","0.8494852680156194","0.6971955981540646","0.6971955981540646","0.6971955981540646","0.6787362442314518","0.6787362442314518","0.6787362442314518","0.4036208732694356","0.4036208732694356","0.4036208732694356","0.4327298544550941","0.4327298544550941","0.4327298544550941","0.9680511182108626","0.9680511182108626","0.9680511182108626","0.9691160809371672","0.9691160809371672","0.9691160809371672"
"1850","0.8537451189208378","0.8537451189208378","0.8537451189208378","0.8232161874334398","0.8232161874334398","0.8232161874334398","0.6975505857294995","0.6975505857294995","0.6975505857294995","0.6904508342208022","0.6904508342208022","0.6904508342208022","0.4007809726659567","0.4007809726659567","0.4007809726659567","0.42314518991835287","0.42314518991835287","0.42314518991835287","0.9708910188143415","0.9708910188143415","0.9708910188143415","0.9726659566915158","0.9726659566915158","0.9726659566915158"
"1900","0.8487752928647497","0.8487752928647497","0.8487752928647497","0.8274760383386581","0.8274760383386581","0.8274760383386581","0.6979055733049343","0.6979055733049343","0.6979055733049343","0.6893858714944977","0.6893858714944977","0.6893858714944977","0.38942137025204115","0.38942137025204115","0.38942137025204115","0.42598509052183176","0.42598509052183176","0.42598509052183176","0.9836705715299965","0.9836705715299965","0.9836705715299965","0.9747958821441249","0.9747958821441249","0.9747958821441249"
"1950","0.850550230741924","0.850550230741924","0.850550230741924","0.845580404685836","0.845580404685836","0.845580404685836","0.6975505857294995","0.6975505857294995","0.6975505857294995","0.6769613063542776","0.6769613063542776","0.6769613063542776","0.4103656372026979","0.4103656372026979","0.4103656372026979","0.4217252396166134","0.4217252396166134","0.4217252396166134","0.9787007454739084","0.9787007454739084","0.9787007454739084","0.96201632942847","0.96201632942847","0.96201632942847"
"2000","0.8537451189208378","0.8537451189208378","0.8537451189208378","0.8367057152999645","0.8367057152999645","0.8367057152999645","0.7071352502662407","0.7071352502662407","0.7071352502662407","0.6925807596734115","0.6925807596734115","0.6925807596734115","0.4039758608448704","0.4039758608448704","0.4039758608448704","0.4245651402200923","0.4245651402200923","0.4245651402200923","0.9751508697195598","0.9751508697195598","0.9751508697195598","0.9719559815406461","0.9719559815406461","0.9719559815406461"
