"Step","count3_medium_encoder_0_resumed_2 - sequence_accuracy","count3_medium_encoder_0_resumed_2 - sequence_accuracy__MIN","count3_medium_encoder_0_resumed_2 - sequence_accuracy__MAX"
"146500","0.9534375","0.9534375","0.9534375"
"146600","0.271875","0.271875","0.271875"
"146700","0.98640625","0.98640625","0.98640625"
"146800","0.988125","0.988125","0.988125"
"146900","0.97671875","0.97671875","0.97671875"
"147000","0.955625","0.955625","0.955625"
"147100","0.97078125","0.97078125","0.97078125"
"147200","0.90828125","0.90828125","0.90828125"
"147300","0.9665625","0.9665625","0.9665625"
"147400","0.96","0.96","0.96"
"147500","0.89296875","0.89296875","0.89296875"
"147600","0.94796875","0.94796875","0.94796875"
"147700","0.98953125","0.98953125","0.98953125"
"147800","0.98875","0.98875","0.98875"
"147900","0.960625","0.960625","0.960625"
"148000","0.91875","0.91875","0.91875"
"148100","0.915","0.915","0.915"
"148200","0.9590625","0.9590625","0.9590625"
"148300","0.94953125","0.94953125","0.94953125"
"148400","0.95296875","0.95296875","0.95296875"
"148500","0.95609375","0.95609375","0.95609375"
"148600","0.94890625","0.94890625","0.94890625"
"148700","0.9221875","0.9221875","0.9221875"
"148800","0.949375","0.949375","0.949375"
"148900","0.98578125","0.98578125","0.98578125"
"149000","0.9865625","0.9865625","0.9865625"
"149100","0.94890625","0.94890625","0.94890625"
"149200","0.96","0.96","0.96"
"149300","0.9678125","0.9678125","0.9678125"
"149400","0.961875","0.961875","0.961875"
"149500","0.9671875","0.9671875","0.9671875"
"149600","0.95375","0.95375","0.95375"
"149700","0.97375","0.97375","0.97375"
"149800","0.98484375","0.98484375","0.98484375"
"149900","0.98578125","0.98578125","0.98578125"
"150000","0.97875","0.97875","0.97875"
